ElectionType,Year,Province,EligibleVoters,Votes1,ValidVotes,Party,Count,Turnout,VoteShare,TotalPopulation_1,Males_2,Females_3,TotalPopulation_4,NeverMarried_5,Married_6,Widowed_7,Divorced_8,YoungerThan20Years_10,k_20To40Years_11,k_40To65Years_12,k_65To80Years_13,k_80YearsOrOlder_14,TotalDemographicPressure_20,ProvinceID,GDP_Growth,Inflation_rate,PastElection,PastElection2,PastElectionVoteShare,PastElection2VoteShare,Abbreviation,inc_cabinet,inc
Second Chamber,1963,Drenthe,180280,173339,167560,KatholiekeVolkspartij(KVP),12781,0.929443088528955,0.07627715445213655,11889962,0.4982195065047306,0.5017804934952693,11889962,0.4976930119709382,0.45079017073393507,0.04433151258178958,0.007185304713337183,0.3811754823102042,0.26423928015917963,0.26144515852952266,0.07860664314991082,0.014533435851182703,90.2,1,0.0362462153047358,0.0324365932762639,1959,1956,0.06864310004353284,0.06911925656847802,KVP,1,1
Second Chamber,1963,Fryslân,278338,265280,259975,KatholiekeVolkspartij(KVP),18858,0.9340262558472073,0.07253774401384748,11889962,0.4982195065047306,0.5017804934952693,11889962,0.4976930119709382,0.45079017073393507,0.04433151258178958,0.007185304713337183,0.3811754823102042,0.26423928015917963,0.26144515852952266,0.07860664314991082,0.014533435851182703,90.2,2,0.0362462153047358,0.0324365932762639,1959,1956,0.06896887690281145,0.06938594370985572,KVP,1,1
Second Chamber,1963,Gelderland,744161,713147,697823,KatholiekeVolkspartij(KVP),222503,0.9377312167662643,0.31885306159298277,11889962,0.4982195065047306,0.5017804934952693,11889962,0.4976930119709382,0.45079017073393507,0.04433151258178958,0.007185304713337183,0.3811754823102042,0.26423928015917963,0.26144515852952266,0.07860664314991082,0.014533435851182703,90.2,3,0.0362462153047358,0.0324365932762639,1959,1956,0.31894149780622494,0.3217550274223035,KVP,1,1
Second Chamber,1963,Groningen,290473,274957,266601,KatholiekeVolkspartij(KVP),17268,0.9178168022501231,0.06477094984639968,11889962,0.4982195065047306,0.5017804934952693,11889962,0.4976930119709382,0.45079017073393507,0.04433151258178958,0.007185304713337183,0.3811754823102042,0.26423928015917963,0.26144515852952266,0.07860664314991082,0.014533435851182703,90.2,4,0.0362462153047358,0.0324365932762639,1959,1956,0.058415145120347435,0.059299658735350445,KVP,1,1
Second Chamber,1963,Limburg,480812,463340,443975,KatholiekeVolkspartij(KVP),343913,0.9233858555942863,0.7746224449574863,11889962,0.4982195065047306,0.5017804934952693,11889962,0.4976930119709382,0.45079017073393507,0.04433151258178958,0.007185304713337183,0.3811754823102042,0.26423928015917963,0.26144515852952266,0.07860664314991082,0.014533435851182703,90.2,5,0.0362462153047358,0.0324365932762639,1959,1956,0.7952788708521695,0.7857680552837205,KVP,1,1
Second Chamber,1963,Noord-Brabant,823658,795973,772361,KatholiekeVolkspartij(KVP),555090,0.9377205102117626,0.7186924249152922,11889962,0.4982195065047306,0.5017804934952693,11889962,0.4976930119709382,0.45079017073393507,0.04433151258178958,0.007185304713337183,0.3811754823102042,0.26423928015917963,0.26144515852952266,0.07860664314991082,0.014533435851182703,90.2,6,0.0362462153047358,0.0324365932762639,1959,1956,0.7404278174575014,0.7487345395990856,KVP,1,1
Second Chamber,1963,Noord-Holland,1268549,1195277,1166957,KatholiekeVolkspartij(KVP),282306,0.9199148002954557,0.24191636881221845,11889962,0.4982195065047306,0.5017804934952693,11889962,0.4976930119709382,0.45079017073393507,0.04433151258178958,0.007185304713337183,0.3811754823102042,0.26423928015917963,0.26144515852952266,0.07860664314991082,0.014533435851182703,90.2,7,0.0362462153047358,0.0324365932762639,1959,1956,0.2344667463176102,0.23704323662890747,KVP,1,1
Second Chamber,1963,Overijssel,462328,445197,437472,KatholiekeVolkspartij(KVP),122895,0.9462373033863404,0.28092083607636603,11889962,0.4982195065047306,0.5017804934952693,11889962,0.4976930119709382,0.45079017073393507,0.04433151258178958,0.007185304713337183,0.3811754823102042,0.26423928015917963,0.26144515852952266,0.07860664314991082,0.014533435851182703,90.2,8,0.0362462153047358,0.0324365932762639,1959,1956,0.28129627393925655,0.28013891100756716,KVP,1,1
Second Chamber,1963,Utrecht,401629,382453,374414,KatholiekeVolkspartij(KVP),96450,0.9322384588762266,0.25760254691330986,11889962,0.4982195065047306,0.5017804934952693,11889962,0.4976930119709382,0.45079017073393507,0.04433151258178958,0.007185304713337183,0.3811754823102042,0.26423928015917963,0.26144515852952266,0.07860664314991082,0.014533435851182703,90.2,9,0.0362462153047358,0.0324365932762639,1959,1956,0.2546462359482279,0.25840224838150655,KVP,1,1
Second Chamber,1963,Zeeland,169812,160322,156289,KatholiekeVolkspartij(KVP),32436,0.9203648740960592,0.20753859836584787,11889962,0.4982195065047306,0.5017804934952693,11889962,0.4976930119709382,0.45079017073393507,0.04433151258178958,0.007185304713337183,0.3811754823102042,0.26423928015917963,0.26144515852952266,0.07860664314991082,0.014533435851182703,90.2,10,0.0362462153047358,0.0324365932762639,1959,1956,0.2106226165560278,0.2091358769812113,KVP,1,1
Second Chamber,1963,Zuid-Holland,1645074,1548652,1513081,KatholiekeVolkspartij(KVP),290528,0.9197647035938809,0.19201087053502092,11889962,0.4982195065047306,0.5017804934952693,11889962,0.4976930119709382,0.45079017073393507,0.04433151258178958,0.007185304713337183,0.3811754823102042,0.26423928015917963,0.26144515852952266,0.07860664314991082,0.014533435851182703,90.2,11,0.0362462153047358,0.0324365932762639,1959,1956,0.18452986298413332,0.18739721352773928,KVP,1,1
Second Chamber,1963,Drenthe,180280,173339,167560,PartijvandeArbeid(P.v.d.A.),67177,0.929443088528955,0.400913105753163,11889962,0.4982195065047306,0.5017804934952693,11889962,0.4976930119709382,0.45079017073393507,0.04433151258178958,0.007185304713337183,0.3811754823102042,0.26423928015917963,0.26144515852952266,0.07860664314991082,0.014533435851182703,90.2,1,0.0362462153047358,0.0324365932762639,1959,1956,0.4253474741484281,0.4459246228119062,PvdA,0,0
Second Chamber,1963,Fryslân,278338,265280,259975,PartijvandeArbeid(P.v.d.A.),91093,0.9340262558472073,0.3503913837869026,11889962,0.4982195065047306,0.5017804934952693,11889962,0.4976930119709382,0.45079017073393507,0.04433151258178958,0.007185304713337183,0.3811754823102042,0.26423928015917963,0.26144515852952266,0.07860664314991082,0.014533435851182703,90.2,2,0.0362462153047358,0.0324365932762639,1959,1956,0.38734732690553947,0.40912386922427696,PvdA,0,0
Second Chamber,1963,Gelderland,744161,713147,697823,PartijvandeArbeid(P.v.d.A.),190876,0.9377312167662643,0.2735306804160941,11889962,0.4982195065047306,0.5017804934952693,11889962,0.4976930119709382,0.45079017073393507,0.04433151258178958,0.007185304713337183,0.3811754823102042,0.26423928015917963,0.26144515852952266,0.07860664314991082,0.014533435851182703,90.2,3,0.0362462153047358,0.0324365932762639,1959,1956,0.2909813502430157,0.31284696266709594,PvdA,0,0
Second Chamber,1963,Groningen,290473,274957,266601,PartijvandeArbeid(P.v.d.A.),101443,0.9178168022501231,0.3805049493437759,11889962,0.4982195065047306,0.5017804934952693,11889962,0.4976930119709382,0.45079017073393507,0.04433151258178958,0.007185304713337183,0.3811754823102042,0.26423928015917963,0.26144515852952266,0.07860664314991082,0.014533435851182703,90.2,4,0.0362462153047358,0.0324365932762639,1959,1956,0.4066045814600728,0.4224154916811816,PvdA,0,0
